user_id,gender,state_group,age,output,COUNT(transactions1to30days_purchase),SUM(transactions1to30days_purchase.amount),MEAN(transactions1to30days_purchase.amount),COUNT(transactions31to60days_purchase),SUM(transactions31to60days_purchase.amount),MEAN(transactions31to60days_purchase.amount),COUNT(transactions1to30days_clabeInc),SUM(transactions1to30days_clabeInc.amount),MEAN(transactions1to30days_clabeInc.amount),COUNT(transactions31to60days_clabeInc),SUM(transactions31to60days_clabeInc.amount),MEAN(transactions31to60days_clabeInc.amount),COUNT(transactions1to30days_clabeOut),SUM(transactions1to30days_clabeOut.amount),MEAN(transactions1to30days_clabeOut.amount),COUNT(transactions31to60days_clabeOut),SUM(transactions31to60days_clabeOut.amount),MEAN(transactions31to60days_clabeOut.amount),COUNT(transactions1to30days_atm),SUM(transactions1to30days_atm.amount),MEAN(transactions1to30days_atm.amount),COUNT(transactions31to60days_atm),SUM(transactions31to60days_atm.amount),MEAN(transactions31to60days_atm.amount),MEAN(balance1to30days.current_balance),MEAN(balance31to60days.current_balance),ratioCableInOut_1to30days,ratioCableInOut_31to60days,ratioBalanceClabeIn_1to30days,ratioBalanceClabeIn_31to60days,MEAN(transactionsDaily1to30days_purchase.amount),MEAN(transactionsDaily31to60days_purchase.amount),MEAN(transactionsDaily1to30days_clabeOut.amount),MEAN(transactionsDaily31to60days_clabeOut.amount),MEAN(transactionsDaily1to30days_clabeInc.amount),MEAN(transactionsDaily31to60days_clabeInc.amount),MEAN(transactionsDaily1to30days_atm.amount),MEAN(transactionsDaily31to60days_atm.amount),disbursement_date,month
60993735-a91b-4a32-9c9e-e63efd319421,MALE,north_mexico,26,1,3,82.0,27.33333333333333,0,0.0,0.0,6,403.52,67.25333333333333,0,0.0,0.0,5,353.52,70.704,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,19.30434782608696,0.0,0.8333333333333334,0.0,0.0478398786332448,0.0,33.0,0.0,69.63,0.0,71.505,0.0,0.0,0.0,2021-04-09,202104
930ab4c6-fc2a-4bf4-99ea-053f2517f6bc,FEMALE,central_mexico,29,1,1,839.0,839.0,0,0.0,0.0,4,1539.0,384.75,7,3743.0,534.7142857142857,2,700.0,350.0,6,3768.0,628.0,0,0.0,0.0,0,0.0,0.0,59.92857142857143,6.25,0.5,0.8571428571428571,0.0389399424487143,0.0016697835960459,839.0,0.0,350.0,703.6,373.1666666666667,476.3,0.0,0.0,2021-03-18,202103
e0d56538-7f6d-4dcb-88a5-a2b8e45132f8,MALE,north_mexico,21,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-08,202103
f944f4a5-e490-4667-b42c-1bc03920ac3d,MALE,bajio,25,0,3,466.0,155.33333333333334,0,0.0,0.0,4,1025.0,256.25,0,0.0,0.0,2,708.0,354.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,34.13428571428569,0.6700000000000003,0.5,0.0,0.0333017421602787,0.0,155.33,0.0,354.0,0.0,256.25,0.0,0.0,0.0,2021-03-04,202103
d72b8bf4-f93a-4233-ac26-53a8e317402d,FEMALE,south_mexico,35,1,5,852.28,170.456,0,0.0,0.0,14,1644.24,117.44571428571427,0,0.0,0.0,7,791.72,113.10285714285716,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,69.1217857142857,0.0,0.5,0.0,0.0420387447783083,0.0,170.456,0.0,122.37,0.0,119.68111111111112,0.0,0.0,0.0,2021-03-23,202103
4fc18b6d-bf04-41e4-8e3f-7c421199550a,FEMALE,golfo,42,1,14,4763.4,340.24285714285713,0,0.0,0.0,6,5335.0,889.1666666666666,0,0.0,0.0,1,500.0,500.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,666.0782608695653,0.0,0.1666666666666666,0.0,0.1248506580823927,0.0,295.3966666666667,0.0,500.0,0.0,1064.0,0.0,0.0,0.0,2021-04-09,202104
9a7c806d-7633-43fc-836d-35117c50e578,MALE,central_mexico,33,1,2,109.28,54.64,0,0.0,0.0,3,110.0,36.66666666666666,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36.66000000000001,0.0,0.0,0.0,0.3332727272727274,0.0,54.64,0.0,0.0,0.0,36.66666666666666,0.0,0.0,0.0,2021-04-14,202104
343cc742-b9cc-48e5-a241-f8fea7234c00,MALE,central_mexico,52,0,4,1718.42,429.605,0,0.0,0.0,2,1850.01,925.005,3,1405.01,468.3366666666666,1,350.0,350.0,3,1184.86,394.9533333333333,0,0.0,0.0,0,0.0,0.0,189.9328571428572,140.59892857142862,0.5,1.0,0.1026658543158454,0.1000696995547566,398.14,0.0,350.0,394.9533333333333,925.01,352.505,0.0,0.0,2021-01-21,202101
c7f9e873-4739-4f6f-8857-7740d2e92f7e,MALE,caribbean,33,0,33,2167.87,65.6930303030303,41,2637.76,64.33560975609757,12,2131.32,177.61,10,2581.9,258.18999999999994,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,127.11142857142856,164.97642857142856,0.0,0.0,0.0596397671731267,0.0638972960112431,66.15,52.85850000000001,0.0,0.0,183.818,264.1671428571429,0.0,0.0,2020-12-16,202012
630903c4-03f1-4b06-8703-2ef8b4538b19,MALE,bajio,40,0,1,119.0,119.0,8,1057.23,132.15375,9,6260.0,695.5555555555555,8,4223.0,527.875,9,6182.0,686.8888888888889,7,5205.0,743.5714285714286,0,0.0,0.0,0,0.0,0.0,490.3485714285715,272.74392857142857,1.0,0.875,0.078330442720219,0.064585348939481,119.0,111.096,629.5714285714286,743.5714285714286,737.0,575.9285714285714,0.0,0.0,2021-02-25,202102
